Time (seconds),strength,x,y,z,pitch,roll
373.07,,992,-296,-88,,
373.71,,968,-364,-96,,
374.35,,904,-408,-224,,
374.99,,828,-400,-364,,
375.63,,900,-264,-484,,
376.27,,840,-364,-488,,
376.91,,720,-424,-600,,
377.55,,656,-368,-736,,
378.19,,552,-220,-764,,
378.83,,548,-32,-864,,
379.47,,384,84,-984,,
380.11,,252,4,-996,,
380.75,,824,-192,-1056,,
381.39,,-40,8,-964,,
382.03,,-4,116,-924,,
382.67,,-8,928,-584,,
383.31,,-304,144,-932,,
383.95,,-144,-628,-888,,
384.59,,56,1172,-656,,
385.23,,80,-772,-620,,
385.87,,-472,-32,-700,,
386.51,,116,1060,-636,,
387.15,,-132,-324,-768,,
387.80,,-20,-1108,-552,,
388.44,,8,832,-792,,
389.08,,-144,500,-816,,
389.72,,-136,-828,-696,,
390.36,,-48,576,-732,,
391.00,,588,1220,-524,,
391.64,,-140,-720,-664,,
392.28,,-112,-56,-908,,
392.92,,0,852,-552,,
393.56,,-8,-172,-812,,
394.20,,0,-972,-624,,
394.84,,-112,48,-1096,,
395.48,,92,96,-996,,
396.12,,-520,60,-676,,
396.76,,-876,140,540,,
397.40,,-528,420,892,,
398.04,,732,1040,196,,
398.68,,-152,708,-772,,
399.32,,-44,252,-944,,
399.96,,80,756,-660,,
400.60,,-48,292,-952,,
401.24,,84,-996,-328,,
401.88,,8,848,-656,,
402.52,,76,-480,-732,,
403.16,,364,-1248,-648,,
403.80,,60,904,-836,,
404.44,,-112,344,-868,,
405.08,,-20,-1028,-708,,
405.72,,64,628,-724,,
406.36,,56,532,0,,
407.00,,-244,-632,-688,,
407.64,,-132,-92,-864,,
408.28,,-24,1252,-592,,
408.92,,-224,-484,-804,,
409.56,,48,-1184,-492,,
410.20,,76,856,-556,,
410.84,,-36,628,-704,,
411.48,,-76,-876,-544,,
412.12,,-104,-580,-728,,
412.76,,-160,-60,-1060,,
413.40,,164,148,-1008,,
414.04,,268,188,-964,,
414.68,,480,-12,-956,,
415.32,,640,-524,-632,,
415.96,,808,-524,-320,,
416.60,,912,-248,152,,
417.24,,928,4,452,,
417.88,,1100,152,412,,
418.52,,1004,100,52,,
419.16,,900,-28,-148,,
419.80,,1116,-24,-56,,
420.44,,1020,32,-188,,
421.08,,992,28,-236,,
421.72,,972,-20,-180,,
422.36,,1120,-48,120,,
423.00,,1016,-20,-40,,
423.65,,1016,-52,4,,
424.28,,1028,-152,56,,
424.92,,1032,-84,-12,,
425.56,,1048,-12,-116,,
426.20,,988,136,-120,,
426.84,,980,188,-120,,
427.48,,1044,188,-72,,
428.12,,1012,196,-120,,
428.76,,1016,168,-156,,
429.40,,1044,156,-204,,
430.04,,1020,224,-208,,
430.68,,536,-52,688,,
431.32,,988,56,-96,,
431.96,,1052,84,-196,,
432.60,,1016,76,-164,,
433.24,,980,4,-92,,
433.88,,976,-216,-156,,
434.52,,984,-148,-136,,
435.16,,1028,-84,-92,,
435.80,,1016,-12,-136,,
436.44,,1036,-112,-128,,
437.08,,1040,-76,-152,,
437.72,,1016,-112,-192,,
438.37,,664,-712,-108,,
439.00,,640,-776,52,,
439.64,,-32,-448,856,,
440.28,,340,-204,988,,
440.92,,128,-272,980,,
441.56,,272,-684,776,,
442.20,,-880,-300,-752,,
442.84,,-780,368,-720,,
443.48,,-552,480,-676,,
444.12,,-336,224,-980,,
444.76,,-424,468,-896,,
445.40,,-404,468,-724,,
